word,mirror
b,b
c,m
d,k
e,i
g,h
j,f
o,w
q,p
s,l
t,y
u,r
v,n
bb,bb
bi,be
bk,bd
br,bu
bs,bl
bv,bn
by,bt
cd,mk
cg,mh
ch,mg
cm,mc
cq,mp
cr,mu
cy,mt
db,kb
dc,km
de,ki
do,kw
dy,kt
ec,im
ed,ik
ee,ii
em,ic
en,iv
eo,iw
ep,iq
es,il
eu,ir
ey,it
fl,js
fr,ju
fu,jr
gi,he
gl,hs
gp,hq
gu,hr
hi,ge
hl,gs
hu,gr
hv,gn
hw,go
hy,gt
io,ew
is,el
ji,fe
jo,fw
jt,fy
kc,dm
kl,ds
kr,du
kv,dn
ky,dt
lc,sm
ld,sk
lg,sh
lh,sg
lp,sq
lr,su
ls,sl
lu,sr
mb,cb
md,ck
mi,ce
ml,cs
mm,cc
mn,cv
mr,cu
ms,cl
mw,co
my,ct
nb,vb
nl,vs
ns,vl
ob,wb
og,wh
oh,wg
om,wc
or,wu
ou,wr
oy,wt
pc,qm
pg,qh
pi,qe
pq,qp
ps,ql
pt,qy
pu,qr
qi,pe
qs,pl
qu,pr
rg,uh
rm,uc
sb,lb
sc,lm
se,li
si,le
sn,lv
ss,ll
st,ly
sv,ln
sw,lo
tc,ym
ti,ye
tv,yn
ug,rh
ui,re
um,rc
vc,nm
vi,ne
vr,nu
vt,ny
vu,nr
wd,ok
we,oi
wi,oe
wk,od
wl,os
wm,oc
wo,ow
ws,ol
wy,ot
yd,tk
yi,te
yr,tu
yu,tr
bbs,bbl
bec,bim
bis,bel
bit,bey
bks,bdl
brl,bus
btl,bys
bur,bru
cir,meu
cry,mut
cul,mrs
dec,kim
del,kis
des,kil
dib,keb
dit,key
div,ken
els,isl
eyl,its
fir,jeu
gel,his
gey,hit
gie,hei
gil,hes
gio,hew
gis,hel
goy,hwt
gry,hut
gul,hrs
heh,gig
hey,git
hic,gem
hui,gre
hwy,got
ilk,esd
ill,ess
ise,eli
iud,erk
ivy,ent
jig,feh
jim,fec
jut,fry
kgr,dhu
kie,dei
kin,dev
kit,dey
kru,dur
lei,sie
lek,sid
les,sil
leu,sir
lie,sei
lst,sly
lwl,sos
lwm,soc
meh,cig
mel,cis
men,civ
mis,cel
moc,cwm
mow,cwo
moy,cwt
mru,cur
mts,cyl
mum,crc
mus,crl
nei,vie
nie,vei
oil,wes
ory,wut
out,wry
owd,wok
owl,wos
owt,woy
pik,qed
pre,qui
qrs,pul
rly,ust
sec,lim
sel,lis
sen,liv
sep,liq
seq,lip
sey,lit
sik,led
sin,lev
sit,ley
sow,lwo
sri,lue
stm,lyc
swy,lot
tig,yeh
til,yes
tiu,yer
uey,rit
ugt,rhy
urb,rub
uri,rue
uti,rye
vel,nis
vid,nek
vii,nee
wed,oik
wee,oii
wei,oie
wod,owk
wus,orl
yis,tel
yoe,twi
yow,two
beld,bisk
bess,bill
bint,bevy
bist,bely
bred,buik
brus,burl
bury,brut
celt,misy
cill,mess
circ,meum
cirl,meus
civy,ment
crus,murl
deis,kiel
desk,kild
devi,kine
diss,kell
duel,kris
edit,ikey
feni,jive
fent,jivy
fess,jill
fike,jedi
fiot,jewy
gell,hiss
gies,heil
gigi,hehe
gird,heuk
hill,gess
huey,grit
hurl,grus
ices,emil
immi,ecce
jefe,fiji
jess,fill
keld,disk
kibe,debi
kiby,debt
kill,dess
kirs,deul
kiss,dell
kist,dely
kuei,drie
leke,sidi
levi,sine
lice,semi
lieu,seir
lill,sess
lisk,seld
mike,cedi
miki,cede
mill,cess
miss,cell
muil,cres
murk,crud
neil,vies
ness,vill
nevi,vine
orly,wust
prec,quim
prey,quit
quei,prie
quin,prev
rest,uily
ryes,util
sect,limy
seik,lied
seil,lies
sell,liss
sill,less
swot,lowy
tiki,yede
veil,nies
vele,nisi
veri,niue
vili,nese
viol,news
viss,nell
west,oily
wime,oeci
wost,owly
yill,tess
yird,teuk
yowl,twos
yuit,trey
besew,bilio
bines,bevil
burly,brust
crust,murly
desyl,kilts
hoist,gwely
juicy,fremt
kesse,dilli
kevil,dines
kines,devil
loess,swill
menes,civil
mimes,cecil
murmi,cruce
nihil,veges
prius,querl
privy,quent
quell,priss
quill,press
seqwl,lipos
silyl,lests
swies,loeil
oekist,widely
crudest,murkily
lessest,sillily
